id,value,feed_id,created_at,lat,lon,ele
0FTZJ87FPJG4J78ZECEPMVBDT7,35.0968,3025962,2025-03-14 22:50:22 UTC,,,
0FTZJ8CBVQE1A7QHHGJN0SSGWP,35.0968,3025962,2025-03-14 22:50:38 UTC,,,
0FTZJ8H87DK0XNDV3KH6TS9AB6,35.0968,3025962,2025-03-14 22:50:54 UTC,,,
0FTZJ8P4GKCYBV0CC109T552ZP,35.0968,3025962,2025-03-14 22:51:10 UTC,,,
0FTZJ8V0RX3HKVBMPT5F44VYJJ,35.0968,3025962,2025-03-14 22:51:26 UTC,,,
0FTZJ8ZX2D7ZW9JMYJRPKD7WP6,35.0968,3025962,2025-03-14 22:51:42 UTC,,,
0FTZJ94SB65XKCYXG6XFDR0ZT3,35.0968,3025962,2025-03-14 22:51:58 UTC,,,
0FTZJ99NPTT62YC44JMV1S58T7,35.0968,3025962,2025-03-14 22:52:14 UTC,,,
0FTZJ9EHWSRR4NVJ1G1WX5H351,35.0968,3025962,2025-03-14 22:52:30 UTC,,,
0FTZJ9KE8WAA9SSTGS510AF8DT,35.0968,3025962,2025-03-14 22:52:46 UTC,,,
0FTZJ9RAG2W81FWT5D6VVAG3EB,35.0968,3025962,2025-03-14 22:53:02 UTC,,,
0FTZJ9X6RC3HRNYAB872PE55XN,35.0968,3025962,2025-03-14 22:53:18 UTC,,,
0FTZJA230YZCQVK4SNQPG6JCHA,35.0968,3025962,2025-03-14 22:53:34 UTC,,,
0FTZJA6Z9S5ZVW9JE36SWR9TE6,35.0968,3025962,2025-03-14 22:53:50 UTC,,,
0FTZJABVNQ70RXRB5ZKMRP1PYE,35.5649,3025962,2025-03-14 22:54:06 UTC,,,
0FTZJAGQWCRQGAQ5CTH7GXCB29,35.0968,3025962,2025-03-14 22:54:22 UTC,,,
0FTZJANM66K9ECGMEDYRWQY2BN,35.0968,3025962,2025-03-14 22:54:38 UTC,,,
0FTZJATGENXG49Y0WWZTWAY5Q0,35.0968,3025962,2025-03-14 22:54:54 UTC,,,
0FTZJAZCQHJNCEPD24HEYC8F8Z,35.5649,3025962,2025-03-14 22:55:10 UTC,,,
0FTZJB491DME8VRA976G9RC5FS,35.0968,3025962,2025-03-14 22:55:26 UTC,,,
0FTZJB958XVPKZGWCW9VYTFBV7,35.0968,3025962,2025-03-14 22:55:42 UTC,,,
0FTZJBE1KF88WGD76C6DCB5RHX,35.0968,3025962,2025-03-14 22:55:58 UTC,,,
0FTZJBJXSX75BA4RJFRNE6DJ03,35.0968,3025962,2025-03-14 22:56:14 UTC,,,
0FTZJBQT4V56R96RKD0ZX03YXV,35.0968,3025962,2025-03-14 22:56:30 UTC,,,
0FTZJBWPD6VF8XFS6NE267Z4N7,35.5649,3025962,2025-03-14 22:56:46 UTC,,,
0FTZJC1JQ7E8JZF5KZY4X837GC,35.0968,3025962,2025-03-14 22:57:02 UTC,,,
0FTZJC6FD3KY7YJGA4FZ0Q4VP5,35.0968,3025962,2025-03-14 22:57:18 UTC,,,
0FTZJCBB982P9P98MBH51Y6W1N,35.0968,3025962,2025-03-14 22:57:34 UTC,,,
0FTZJCG7JBV8TZDR3M1K6SB1R3,35.0968,3025962,2025-03-14 22:57:50 UTC,,,
0FTZJCN3WR27JM8CJ685C4340Y,35.0968,3025962,2025-03-14 22:58:06 UTC,,,
0FTZJCT05KAJSWP100FSWCV89S,35.0968,3025962,2025-03-14 22:58:22 UTC,,,
0FTZJCYWD1JVQGSGZQEM8V55BK,35.0968,3025962,2025-03-14 22:58:38 UTC,,,
0FTZJD3RPZMFHFT65TXKN2363W,35.0968,3025962,2025-03-14 22:58:54 UTC,,,
0FTZJD8N4WZEVVZ375P315TZH7,35.0968,3025962,2025-03-14 22:59:10 UTC,,,
0FTZJDDHA0RETP5ZXEXVJ96BZK,35.0968,3025962,2025-03-14 22:59:26 UTC,,,
0FTZJDJDJTTVRPVVCBBDCSJ5ZM,35.0968,3025962,2025-03-14 22:59:42 UTC,,,
0FTZJDQ9W46P1S9AZEB6QCGCK7,35.5649,3025962,2025-03-14 22:59:58 UTC,,,
0FTZJDW6573PT1764ZG5DHEMDE,35.0968,3025962,2025-03-14 23:00:14 UTC,,,
0FTZJE12GFX2G2N6AEK1T9NVG7,35.0968,3025962,2025-03-14 23:00:30 UTC,,,
0FTZJE5YT33J0RC12R8D97H7XT,35.0968,3025962,2025-03-14 23:00:46 UTC,,,
0FTZJEAV2165XY5DS69C3TP6CC,35.5649,3025962,2025-03-14 23:01:02 UTC,,,
0FTZJEFQ9D3VFVJBMCXNJCZNS9,35.0968,3025962,2025-03-14 23:01:18 UTC,,,
0FTZJEMKHP89VG5N5VCEYRX515,35.0968,3025962,2025-03-14 23:01:34 UTC,,,
0FTZJESFTXZGP12JVHYG198E4K,34.6286,3025962,2025-03-14 23:01:50 UTC,,,
0FTZJEYC4ZWAF5A33YKE050DFG,35.0968,3025962,2025-03-14 23:02:06 UTC,,,
0FTZJF38FWQRAVN5PMFGJNMPEX,34.6286,3025962,2025-03-14 23:02:22 UTC,,,
0FTZJF84RKGQGQ56EW986H414H,35.0968,3025962,2025-03-14 23:02:38 UTC,,,
0FTZJFD135EKERG5M46PQH3HSC,35.0968,3025962,2025-03-14 23:02:54 UTC,,,
0FTZJFHXBEZCW89E7S7HYCS4GJ,35.0968,3025962,2025-03-14 23:03:10 UTC,,,
0FTZJFPSHAJVHX38MV201P25TZ,35.0968,3025962,2025-03-14 23:03:26 UTC,,,
0FTZJFVNVY4XV39XHBBJ793R6K,35.0968,3025962,2025-03-14 23:03:42 UTC,,,
0FTZJG0J5G85WS0G36B8PS4VHK,35.0968,3025962,2025-03-14 23:03:58 UTC,,,
0FTZJG5EF66SV90T3VZ9YP5XZZ,35.0968,3025962,2025-03-14 23:04:14 UTC,,,
0FTZJGAAPEBW9VN0J9ATW9D9ZK,35.0968,3025962,2025-03-14 23:04:30 UTC,,,
0FTZJGF720D2599CFTHNDF5714,35.0968,3025962,2025-03-14 23:04:46 UTC,,,
0FTZJGM39CDX0NM105MEXGYWZ1,35.0968,3025962,2025-03-14 23:05:02 UTC,,,
0FTZJGRZJKKVZPQAXECNWZDD3K,34.6286,3025962,2025-03-14 23:05:18 UTC,,,
0FTZJGXVSTXRW67G74A8E7EE35,35.0968,3025962,2025-03-14 23:05:34 UTC,,,
0FTZJH2REA64WTDP6H44A8H2RB,34.6286,3025962,2025-03-14 23:05:50 UTC,,,
0FTZJH7MEAMTP6D8KRSN5PJ45B,35.0968,3025962,2025-03-14 23:06:06 UTC,,,
0FTZJHCGPRTQ8GCWG632DZX9SC,34.6286,3025962,2025-03-14 23:06:22 UTC,,,
0FTZJHHD0EYKR86MVE3Z1K584W,34.6286,3025962,2025-03-14 23:06:38 UTC,,,
0FTZJHP99AGWMHSY74EXN7ENN8,34.6286,3025962,2025-03-14 23:06:54 UTC,,,
0FTZJHV5SPVKFBKWSAE9T191NA,34.6286,3025962,2025-03-14 23:07:10 UTC,,,
